url_article,Date,Auteur,Titre,Annee
https://pubmed.ncbi.nlm.nih.gov/26776199/#affiliation-1,['2016;'],"['Sahand Khakabimamaghani', 'Martin Ester']",BAYESIAN BICLUSTERING FOR PATIENT STRATIFICATION,2016
https://pubmed.ncbi.nlm.nih.gov/9987447/#affiliation-1,['1999;'],"['S Veneti', 'M Papaefthimiou', 'L Ioannidou-Mouzaka']",PAPNET for cervical cytology screening. Experience in Greece,1999
https://pubmed.ncbi.nlm.nih.gov/16685998/#affiliation-1,['2005;'],"['S J Preece', 'I B Styles', 'E Claridge']",Model-based parameter recovery from uncalibrated optical images,2005
https://pubmed.ncbi.nlm.nih.gov/27056410/#affiliation-1,['2016 Dec;'],"['Asmatullah Chaudhry', 'Mehdi Hassan', '\n              3\n            ', '\n              4\n            ']",Robust segmentation and intelligent decision system for cerebrovascular disease,2016
https://pubmed.ncbi.nlm.nih.gov/31128357/#affiliation-1,['2019 Aug;'],"['Joel R Wilkie', 'Michelle L Mierzwa', 'John Yao', 'Avraham Eisbruch', 'Mary Feng', 'Grant Weyburne', 'Xiaoping Chen', 'Lynn Holevinski', 'Charles S Mayo']","Big data analysis of associations between patient reported outcomes, observer reported toxicities, and overall quality of life in head and neck cancer patients treated with radiation therapy",2019
https://pubmed.ncbi.nlm.nih.gov/31965813/#affiliation-1,['2020 Feb 1;'],"['Issam El Naqa', 'Masoom A Haider', 'Maryellen L Giger', 'Randall K Ten Haken']",Artificial Intelligence: reshaping the practice of radiological sciences in the 21st century,2020
https://pubmed.ncbi.nlm.nih.gov/28222889/#affiliation-1,['2017 Apr;'],"['Susmita Dey', 'Ripon Sarkar', 'Kabita Chatterjee', 'Pallab Datta', 'Ananya Barui', 'Santi P Maity']",Pre-cancer risk assessment in habitual smokers from DIC images of oral exfoliative cells using active contour and SVM analysis,2017
https://pubmed.ncbi.nlm.nih.gov/16686000/#affiliation-1,['2005;'],"['A Patriciu', 'M Awad', 'M Choti', 'L Kavoussi']",Robotic assisted radio-frequency ablation of liver tumors--randomized patient study,2005
https://pubmed.ncbi.nlm.nih.gov/28810146/#affiliation-1,['2017 Aug 14;'],"['Myron G Best', 'Nik Sol', ""Sjors G J G In 't Veld"", 'Adrienne Vancura', 'Mirte Muller', 'Anna-Larissa N Niemeijer', 'Aniko V Fejes', 'Lee-Ann Tjon Kon Fat', ""Anna E Huis In 't Veld"", 'Cyra Leurs', 'Tessa Y Le Large', 'Laura L Meijer', 'Irsan E Kooi', 'François Rustenburg', 'Pepijn Schellen', 'Heleen Verschueren', 'Edward Post', 'Laurine E Wedekind', 'Jillian Bracht', 'Michelle Esenkbrink', 'Leon Wils', 'Francesca Favaro', 'Jilian D Schoonhoven', 'Jihane Tannous', 'Hanne Meijers-Heijboer', 'Geert Kazemier', 'Elisa Giovannetti', 'Jaap C Reijneveld', 'Sander Idema', 'Joep Killestein', 'Michal Heger', 'Saskia C de Jager', 'Rolf T Urbanus', 'Imo E Hoefer', 'Gerard Pasterkamp', 'Christine Mannhalter', 'Jose Gomez-Arroyo', 'Harm-Jan Bogaard', 'David P Noske', 'W Peter Vandertop', 'Daan van den Broek', 'Bauke Ylstra', 'R Jonas A Nilsson', 'Pieter Wesseling', 'Niki Karachaliou', 'Rafael Rosell', 'Elizabeth Lee-Lewandrowski', 'Kent B Lewandrowski', 'Bakhos A Tannous', 'Adrianus J de Langen', 'Egbert F Smit', 'Michel M van den Heuvel', 'Thomas Wurdinger']",Swarm Intelligence-Enhanced Detection of Non-Small-Cell Lung Cancer Using Tumor-Educated Platelets,2017
https://pubmed.ncbi.nlm.nih.gov/20443481/#affiliation-1,['2010 Apr;'],"['Eberhard Hansis', 'John D Carroll', 'Olaf Dössel']",High-quality 3-D coronary artery imaging on an interventional C-arm x-ray system,2010
https://pubmed.ncbi.nlm.nih.gov/22893379/#affiliation-1,['2012 Oct;'],"['Marius George Linguraru', 'William J Richbourg', 'Jeremy M Watt', 'Shijun Wang']",Tumor burden analysis on computed tomography by automated liver and tumor segmentation,2012
https://pubmed.ncbi.nlm.nih.gov/21096241/#affiliation-1,['2010;'],"['S H Ling', 'N Nuryani']",Evolved fuzzy reasoning model for hypoglycaemic detection,2010
https://pubmed.ncbi.nlm.nih.gov/18710989/#affiliation-1,['2008 Sep;'],"['Noel C F Codella', 'Jonathan W Weinsaft', 'Matthew Janik', 'Yi Wang']",Left ventricle: automated segmentation by using myocardial effusion threshold reduction and intravoxel computation at MR imaging,2008
https://pubmed.ncbi.nlm.nih.gov/26550024/#affiliation-1,['2015;'],"['Cheng Zhang', 'Tao Zhang', 'Jian Zheng', 'Ming Li', 'Yanfei Lu', 'Jiali You', 'Yihui Guan']",A Model of Regularization Parameter Determination in Low-Dose X-Ray CT Reconstruction Based on Dictionary Learning,2015
https://pubmed.ncbi.nlm.nih.gov/29419752/#affiliation-1,['2018 Feb 8;'],"['Gaofeng Pan', '\n              2\n            ', '\n              3\n            ', 'Jijun Tang', '\n              6\n            ', 'Fei Guo', '\n              9\n            ']",A Novel Computational Method for Detecting DNA Methylation Sites with DNA Sequence Information and Physicochemical Properties,2018
https://pubmed.ncbi.nlm.nih.gov/33334578/#affiliation-1,['2020 Mar;'],"['Hyo-Eun Kim', 'Hak Hee Kim', 'Boo-Kyung Han', 'Ki Hwan Kim', 'Kyunghwa Han', 'Hyeonseob Nam', 'Eun Hye Lee', 'Eun-Kyung Kim']","Changes in cancer detection and false-positive recall in mammography using artificial intelligence: a retrospective, multireader study",2020
https://pubmed.ncbi.nlm.nih.gov/25333161/#affiliation-1,['2014;'],"['Ari Seff', 'Kevin M Cherry', 'Jiamin Liu', 'Joanne Hoffman', 'Ronald M Summers']",2D view aggregation for lymph node detection using a shallow hierarchy of linear classifiers,2014
https://pubmed.ncbi.nlm.nih.gov/32023919/#affiliation-1,['2020 Jan 31;'],"['Qurat Ul Ain', 'Maria Batool', 'Sangdun Choi']",TLR4-Targeting Therapeutics: Structural Basis and Computer-Aided Drug Discovery Approaches,2020
https://pubmed.ncbi.nlm.nih.gov/31524170/#affiliation-1,['2019;'],"['Maurizio Gallucci', '\n              2\n            ', '\n              1\n            ', '\n              1\n            ', '\n              3\n            ', 'Enzo Grossi']","Artificial Neural Networks Help to Better Understand the Interplay Between Cognition, Mediterranean Diet, and Physical Performance: Clues from TRELONG Study",2019
https://pubmed.ncbi.nlm.nih.gov/19282233/#affiliation-1,['2009 Jun;'],"['I Kopriva', 'A Persin']",Unsupervised decomposition of low-intensity low-dimensional multi-spectral fluorescent images for tumour demarcation,2009
https://pubmed.ncbi.nlm.nih.gov/26136298/#affiliation-1,['2016 Feb;'],"['Gustavo Lenis', 'Tobias Oesterlein', 'Claus Schmitt']",P wave detection and delineation in the ECG based on the phase free stationary wavelet transform and using intracardiac atrial electrograms as reference,2016
https://pubmed.ncbi.nlm.nih.gov/26835917/#affiliation-1,['2016 Jan 20;'],"['Taimur Hassan', 'Bilal Hassan', 'Shafaat Ahmed Bazaz']",Automated segmentation of subretinal layers for the detection of macular edema,2016
https://pubmed.ncbi.nlm.nih.gov/30848467/#affiliation-1,['2019;'],"['Wei Chen', 'Xiaobo Zhou', '\n              3\n            ']",Drug Signature Detection Based on L1000 Genomic and Proteomic Big Data,2019
https://pubmed.ncbi.nlm.nih.gov/24184525/#affiliation-1,['2014 Jan;'],"['Carole Frindel', 'Marc C Robini']",A 3-D spatio-temporal deconvolution approach for MR perfusion in the brain,2014
https://pubmed.ncbi.nlm.nih.gov/25299433/#affiliation-1,['2015 Jan;'],"['Wenjia Bai', 'Wenzhe Shi', 'Christian Ledig', 'Daniel Rueckert']",Multi-atlas segmentation with augmented features for cardiac MR images,2015
https://pubmed.ncbi.nlm.nih.gov/17921582/#affiliation-1,['2007 Oct 21;'],"['Ying Cui', 'Jennifer G Dy', 'Brian Alexander']",Multiple template-based fluoroscopic tracking of lung tumor mass without implanted fiducial markers,2007
https://pubmed.ncbi.nlm.nih.gov/21761692/#affiliation-1,['2011;'],"['Pei Zhang', 'Timothy F Cootes']",Automatic part selection for groupwise registration,2011
https://pubmed.ncbi.nlm.nih.gov/21461364/#affiliation-1,['2011;'],"['Zhuocai Wang', 'Xiangmin Xu', 'Hui Xiao', 'Jian Liu', 'Hua Wang']",Extraction of prostatic lumina and automated recognition for prostatic calculus image using PCA-SVM,2011
https://pubmed.ncbi.nlm.nih.gov/33504310/#affiliation-1,[],"['Deekshitha Prakash', 'Nuwan Madusanka', 'Subrata Bhattacharjee', 'Cho-Hee Kim', 'Hyeon-Gyun Park', 'Heung-Kook Choi']",Diagnosing Alzheimer's Disease based on Multiclass MRI Scans using Transfer Learning Techniques,2021
https://pubmed.ncbi.nlm.nih.gov/33437736/#affiliation-1,['2020 Oct 20;'],"['Mohammad Abdolahi', 'Mohammad Salehi', '\n              3\n            ', 'Iman Shokatian', '\n              3\n            ', 'Reza Reiazi', '\n              3\n            ']",Artificial intelligence in automatic classification of invasive ductal carcinoma breast cancer in digital pathology images,2020
https://pubmed.ncbi.nlm.nih.gov/18177849/#affiliation-1,['2008 Mar;'],['Abdulkadir Sengur'],"An expert system based on principal component analysis, artificial immune system and fuzzy k-NN for diagnosis of valvular heart diseases",2008
https://pubmed.ncbi.nlm.nih.gov/22797151/#affiliation-1,['2012 Aug;'],['Elizabeth Kern'],Early diagnosis of lung cancer: the convergence of imaging and information technologies,2012
https://pubmed.ncbi.nlm.nih.gov/23243462/#affiliation-1,['2012;'],"['Meiyan Huang', 'Wei Yang', 'Zhentai Lu', 'Wufan Chen']",Retrieval of brain tumors with region-specific bag-of-visual-words representations in contrast-enhanced MRI images,2012
https://pubmed.ncbi.nlm.nih.gov/29861831/#affiliation-1,['2018 May 10;'],"['Xiaocong Pang', 'Weiqi Fu', 'Jinhua Wang', '\n              2\n            ', 'De Kang', 'Lvjie Xu', 'Ying Zhao', 'Ai-Lin Liu', '\n              2\n            ', 'Guan-Hua Du', '\n              2\n            ']",Identification of Estrogen Receptor α Antagonists from Natural Products via In Vitro and In Silico Approaches,2018
https://pubmed.ncbi.nlm.nih.gov/25277373/#affiliation-1,['2015 Jan;'],"['F Chadebecq', 'C Tilmant', 'A Bartoli']",How big is this neoplasia? live colonoscopic size measurement using the Infocus-Breakpoint,2015
https://pubmed.ncbi.nlm.nih.gov/17896600/#affiliation-1,['2007 Sep;'],"['Vikas Singh', 'Lopamudra Mukherjee', 'Kenneth R Hoffmann', 'Matthew Podgorsak']",Brachytherapy seed localization using geometric and linear programming techniques,2007
https://pubmed.ncbi.nlm.nih.gov/22215412/#affiliation-1,['2012 Jul;'],"['Bangxian Wu', 'Pek-Lan Khong']",Automatic detection and classification of nasopharyngeal carcinoma on PET/CT with support vector machine,2012
https://pubmed.ncbi.nlm.nih.gov/25485420/#affiliation-1,['2014;'],"['Jingjia Xu', 'Azar Rahimi Dehaghani', 'Linwei Wang']",Variational Bayesian electrophysiological imaging of myocardial infarction,2014
https://pubmed.ncbi.nlm.nih.gov/30404161/#affiliation-1,['2018 Nov 6;'],"['Guohui Sun', 'Tengjiao Fan', 'Xiaodong Sun', 'Yuxing Hao', 'Xin Cui', 'Lijiao Zhao', 'Ting Ren', 'Yue Zhou', 'Rugang Zhong', 'Yongzhen Peng']",In Silico Prediction of O⁶-Methylguanine-DNA Methyltransferase Inhibitory Potency of Base Analogs with QSAR and Machine Learning Methods,2018
https://pubmed.ncbi.nlm.nih.gov/26084877/#affiliation-1,['2015;'],"['U Maji', 'S Pal']",Study of atrial activities for abnormality detection by phase rectified signal averaging technique,2015
https://pubmed.ncbi.nlm.nih.gov/16092337/#affiliation-1,['2005 Aug;'],"['Robert A McLaughlin', 'John Hipwell', 'J Alison Noble', 'Tim C Cox']",A comparison of a similarity-based and a feature-based 2-D-3-D registration method for neurointerventional use,2005
https://pubmed.ncbi.nlm.nih.gov/16679273/#affiliation-1,['2006 Jun;'],"['Yu-Len Huang', 'Jeon-Hor Chen']",Diagnosis of hepatic tumors with texture analysis in nonenhanced computed tomography images,2006
https://pubmed.ncbi.nlm.nih.gov/23252774/#affiliation-1,['2013 Feb;'],"['J P Vink', 'M B Van Leeuwen', 'G De Haan']",Efficient nucleus detector in histopathology images,2013
https://pubmed.ncbi.nlm.nih.gov/27207310/#affiliation-1,['2016 Oct;'],"['Žiga Lesjak', 'Franjo Pernuš', 'Boštjan Likar', '\n              3\n            ', '\n              2\n            ']",Validation of White-Matter Lesion Change Detection Methods on a Novel Publicly Available MRI Image Database,2016
https://pubmed.ncbi.nlm.nih.gov/16971799/#affiliation-1,['2006 Oct;'],"['Binsheng Zhao', 'Lawrence H Schwartz', 'Jane Colville', 'Liang Wang', 'Fan Liu']",Shape-constraint region growing for delineation of hepatic metastases on contrast-enhanced computed tomograph scans,2006
https://pubmed.ncbi.nlm.nih.gov/8552655/#affiliation-1,['1996 Jan 9;'],"['R D King', 'S H Muggleton', 'M J Sternberg']",Structure-activity relationships derived by machine learning: the use of atoms and their bond connectivities to predict mutagenicity by inductive logic programming,1996
https://pubmed.ncbi.nlm.nih.gov/17354947/#affiliation-1,['2006;'],"['Aly A Farag', 'Ayman El-Baz', 'Robert Falk', 'Tarek Eldiasty']",Appearance models for robust segmentation of pulmonary nodules in 3D LDCT chest images,2006
https://pubmed.ncbi.nlm.nih.gov/16689264/#affiliation-1,['2006 May;'],"['Marco Loog', 'Bram van Ginneken']",Segmentation of the posterior ribs in chest radiographs using iterated contextual pixel classification,2006
https://pubmed.ncbi.nlm.nih.gov/17633684/#affiliation-1,['2007;'],"['Tobias Heimann', 'Sascha Münzing', 'Ivo Wolf']",A shape-guided deformable model with evolutionary algorithm initialization for 3D soft tissue segmentation,2007
https://pubmed.ncbi.nlm.nih.gov/18003291/#affiliation-1,['2007;'],"['F Younesi', 'N Alam', 'A Ahmadian']",Computer-aided mass detection on digitized mammograms using adaptive thresholding and fuzzy entropy,2007
https://pubmed.ncbi.nlm.nih.gov/25350857/#affiliation-1,['2014;'],['Xue-Qiang Zeng'],Supervised redundant feature detection for tumor classification,2014
https://pubmed.ncbi.nlm.nih.gov/18046941/#affiliation-1,['2007 Nov;'],"['Christos P Loizou', 'Constantinos S Pattichis', 'Andrew Nicolaides']",An integrated system for the segmentation of atherosclerotic carotid plaque,2007
https://pubmed.ncbi.nlm.nih.gov/18972365/#affiliation-1,['2008 Nov;'],"['D H Wu', 'A D Shaffer', 'Z Yang', 'R Alam', 'W T C Yuh']",Iterative active deformational methodology for tumor delineation: Evaluation across radiation treatment stage and volume,2008
https://pubmed.ncbi.nlm.nih.gov/21165536/#affiliation-1,['2011;'],"['I Apostolova', 'S Renisch', 'T Derlin', 'I C Carlsen']",FDG PET/CT in cancer therapy monitoring: computer-assisted analysis of baseline together with up to two follow-ups,2011
https://pubmed.ncbi.nlm.nih.gov/32998692/#affiliation-1,['2020 Sep 30;'],"['Nahim Adnan', 'Chengwei Lei', 'Jianhua Ruan']",Robust edge-based biomarker discovery improves prediction of breast cancer metastasis,2020
https://pubmed.ncbi.nlm.nih.gov/30044653/#affiliation-1,['2018 Aug;'],"['Elena Fountzilas', 'Apostolia M Tsimberidou']",Overview of precision oncology trials: challenges and opportunities,2018
https://pubmed.ncbi.nlm.nih.gov/14964567/#affiliation-1,['2004 Feb;'],"['R J Ferrari', 'R M Rangayyan', 'R A Borges']",Automatic identification of the pectoral muscle in mammograms,2004
https://pubmed.ncbi.nlm.nih.gov/17388195/#affiliation-1,['2007 Feb;'],"['Nebojsa Duric', 'Peter Littrup', 'Alex Babkin', 'Earle Holsapple', 'Carri Glide']",Detection of breast cancer with ultrasound tomography: first results with the Computed Ultrasound Risk Evaluation (CURE) prototype,2007
https://pubmed.ncbi.nlm.nih.gov/17103151/#affiliation-1,['2007 Mar;'],"['Christoph Krafft', 'Stephan B Sobottka', 'Gabriele Schackert']",Classification of malignant gliomas by infrared spectroscopic imaging and linear discriminant analysis,2007
https://pubmed.ncbi.nlm.nih.gov/23286033/#affiliation-1,['2012;'],"['Sebastian Steger', 'Stefan Wesarg']",Automated skeleton based multi-modal deformable registration of head&neck datasets,2012
https://pubmed.ncbi.nlm.nih.gov/18979817/#affiliation-1,['2008;'],"['W H Greene', 'S Chelikani', 'Z Chen', 'L H Staib', 'J Duncan']",A constrained non-rigid registration algorithm for use in prostate image-guided radiotherapy,2008
https://pubmed.ncbi.nlm.nih.gov/26387633/#affiliation-1,['2015 Dec;'],"['Yineng Zheng', 'Xingming Guo', 'Jian Qin', 'Shouzhong Xiao']",Computer-assisted diagnosis for chronic heart failure by the analysis of their cardiac reserve and heart sound characteristics,2015
https://pubmed.ncbi.nlm.nih.gov/31763818/#affiliation-1,['2019 Dec 27;'],"['Nilanjana Das Saha', 'Shafeekh Kulathinte Meethal', 'Preethi V Gopinathan', 'Ravi Manjithaya', '\n              1\n            ']",Multichannel DNA Sensor Array Fingerprints Cell States and Identifies Pharmacological Effectors of Catabolic Processes,2019
https://pubmed.ncbi.nlm.nih.gov/21096589/#affiliation-1,['2010;'],"['Kun Chen', 'Yong Zhang', 'Tanveer Syeda-Mahmood', 'Stephen T C Wong']",Coronary artery segmentation using geometric moments based tracking and snake-driven refinement,2010
https://pubmed.ncbi.nlm.nih.gov/19596553/#affiliation-1,['2009 Dec;'],"['Junhua Zhang', 'Yuanyuan Wang']",An improved graph cut segmentation method for cervical lymph nodes on sonograms and its relationship with node's shape assessment,09 D
https://pubmed.ncbi.nlm.nih.gov/30831394/#affiliation-1,['2019 May 15;'],"['Xiangxiang Zheng', 'Guodong Lv', 'Ying Zhang', 'Xiaoyi Lv', 'Zhixian Gao', 'Jun Tang', 'Jiaqing Mo']",Rapid and non-invasive screening of high renin hypertension using Raman spectroscopy and different classification algorithms,2019
https://pubmed.ncbi.nlm.nih.gov/17388190/#affiliation-1,['2007 Feb;'],"['David W G Montgomery', 'Abbes Amira']",Fully automated segmentation of oncological PET volumes using a combined multiscale and statistical model,2007
https://pubmed.ncbi.nlm.nih.gov/21871082/#affiliation-1,['2011 Aug 26;'],"['Thomas M Hsieh', 'Yi-Min Liu', 'Furen Xiao', 'Jau-Min Wong']",Automatic segmentation of meningioma from non-contrasted brain MRI integrating fuzzy clustering and region growing,2011
https://pubmed.ncbi.nlm.nih.gov/17250534/#affiliation-1,['2007 Feb;'],"['R Joe Stanley', 'William V Stoecker']",A relative color approach to color discrimination for malignant melanoma detection in dermoscopy images,2007
https://pubmed.ncbi.nlm.nih.gov/18973864/#affiliation-1,['2008 Jun;'],"['Wei Xiong', 'Zhibin Cai']",A DSRPCL-SVM approach to informative gene analysis,2008
https://pubmed.ncbi.nlm.nih.gov/17976940/#affiliation-1,['2008 Dec;'],"['Thomas Trieb', 'Bernhard Glodny', 'Christian Wolf', 'Otmar Pachinger', 'Michael F H Schocke']",Inter- and intra-rater reproducibility of semiautomatic determination of volume parameters in cardiac magnetic resonance imaging,2008
https://pubmed.ncbi.nlm.nih.gov/16455257/#affiliation-1,['2006 Feb;'],['Peter F Bladin'],"W. Grey Walter, pioneer in the electroencephalogram, robotics, cybernetics, artificial intelligence",2006
https://pubmed.ncbi.nlm.nih.gov/18979735/#affiliation-1,['2008;'],"['M Freiman', 'O Eliassaf', 'L Joskowicz']",A bayesian approach for liver analysis: algorithm and validation study,2008
https://pubmed.ncbi.nlm.nih.gov/19000867/#affiliation-1,['2008 Dec;'],"['Tomohiro Hirose', 'Norihisa Nitta', 'Yukihiro Nagatani', 'Kiyoshi Murata']",Evaluation of computer-aided diagnosis (CAD) software for the detection of lung nodules on multidetector row computed tomography (MDCT): JAFROC study for the improvement in radiologists' diagnostic accuracy,2008
https://pubmed.ncbi.nlm.nih.gov/16679278/#affiliation-1,['2006 Jun;'],"['Ihar Volkau', 'Bhanu Prakash', 'Varsha Gupta', 'Wieslaw L Nowinski']",Quantitative analysis of brain asymmetry by using the divergence measure: normal-pathological brain discrimination,2006
https://pubmed.ncbi.nlm.nih.gov/15493688/#affiliation-1,['2004 Oct;'],"['James Lowell', 'Andrew Hunter', 'Ansu Basu', 'R Lee Kennedy']",Measurement of retinal vessel widths from fundus images based on 2-D modeling,2004
https://pubmed.ncbi.nlm.nih.gov/18836384/#affiliation-1,['2009 Jan;'],"['Michael M Lell', 'Stefan G Ruehm', 'Christoph Panknin', 'Ernst Klotz']",Cranial computed tomography angiography with automated bone subtraction: a feasibility study,2009
https://pubmed.ncbi.nlm.nih.gov/30441340/#affiliation-1,['2018 Jul;'],"['Mirza Baig', 'Hamid GholamHosseini', 'Ehsan Ullah']",Clinical Decision Support for Early Detection of Prediabetes and Type 2 Diabetes Mellitus Using Wearable Technology,2018
https://pubmed.ncbi.nlm.nih.gov/16689269/#affiliation-1,['2006 May;'],"['Christophe Blondel', 'Grégoire Malandain', 'Nicholas Ayache']",Reconstruction of coronary arteries from a single rotational X-ray projection sequence,2006
https://pubmed.ncbi.nlm.nih.gov/19725739/#affiliation-1,['2009;'],"['Meng-Tsan Tsai', 'Cheng-Kuang Lee', 'Hsin-Ming Chen', 'Yih-Ming Wang']",Differentiating oral lesions in different carcinogenesis stages with optical coherence tomography,2009
https://pubmed.ncbi.nlm.nih.gov/15164042/#affiliation-1,['2004 May 27;'],['Anne Condon'],Automata make antisense,2004
https://pubmed.ncbi.nlm.nih.gov/26529792/#affiliation-1,['2016 Nov;'],"['Peng Guo', 'R Joe Stanley', 'Sameer Antani', 'Rosemary Zuna', 'Randy H Moss']",Nuclei-Based Features for Uterine Cervical Cancer Histology Image Analysis With Fusion-Based Classification,2016
https://pubmed.ncbi.nlm.nih.gov/26763961/#affiliation-1,['2016 Apr;'],"['Cheryl A Mather', 'Brian J Werth', 'Shobini Sivagnanam', 'Dhruba J SenGupta', 'Susan M Butler-Wu']",Rapid Detection of Vancomycin-Intermediate Staphylococcus aureus by Matrix-Assisted Laser Desorption Ionization-Time of Flight Mass Spectrometry,2016
https://pubmed.ncbi.nlm.nih.gov/16607495/#affiliation-1,['2006 Jul;'],"['Andreas H Mahnken', 'Georg Mühlenbruch', 'Sven Stanzel', 'Mathias Niethammer', 'Joachim E Wildberger']",Automated vs. manual assessment of left ventricular function in cardiac multidetector row computed tomography: comparison with magnetic resonance imaging,2006
https://pubmed.ncbi.nlm.nih.gov/32244343/#affiliation-1,['2020 Mar 31;'],"['Jorge Ricardo Mejía-Salazar', 'Kamilla Rodrigues Cruz', 'Elsa María Materón Vásques', '\n              3\n            ', '\n              2\n            ']",Microfluidic Point-of-Care Devices: New Trends and Future Prospects for eHealth Diagnostics,2020
https://pubmed.ncbi.nlm.nih.gov/25715368/#affiliation-1,['2015 Mar;'],"['Tadashi Araki', 'Nobutaka Ikeda', 'Nilanjan Dey', 'Suvojit Acharjee', 'Filippo Molinari', 'Luca Saba', 'Elisa Cuadrado Godia', 'Andrew Nicolaides', 'Jasjit S Suri']",Shape-based approach for coronary calcium lesion volume measurement on intravascular ultrasound imaging and its association with carotid intima-media thickness,2015
https://pubmed.ncbi.nlm.nih.gov/18805670/#affiliation-1,['2008 Dec;'],"['Xinrong Lv', 'Xinbo Gao']",Interactive curved planar reformation based on snake model,2008
https://pubmed.ncbi.nlm.nih.gov/28035989/#affiliation-1,['2016 Dec 27;'],"['Brittany M Salazar', 'Emily A Balczewski', 'Choong Yong Ung', 'Shizhen Zhu', '\n              5\n            ']","Neuroblastoma, a Paradigm for Big Data Science in Pediatric Oncology",2016
https://pubmed.ncbi.nlm.nih.gov/31348505/#affiliation-1,['2019 Jul 3;'],"['Gil Shamai', 'Yoav Binenbaum', '\n              3\n            ', '\n              4\n            ', '\n              5\n            ', '\n              3\n            ', 'Ron Kimmel']",Artificial Intelligence Algorithms to Assess Hormonal Status From Tissue Microarrays in Patients With Breast Cancer,2019
